date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:30	58520/58520	---M--	200	added ('OK')	image/png	etag:%22e498-4fadab35eed80%22	http://tattek.sk/minimal/frontpage/assets/images/slider/3.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/slider/3.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:58:32	1951437/1951437	---M--	200	added ('OK')	image/jpeg	etag:%221dc6cd-4f6ffc53c4f40%22	http://tattek.sk/minimal/assets/images/placeholder/img01.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/placeholder/img01.jpg	(from http://tattek.sk/minimal/profile-page.html)
12:58:35	14512/14512	---M--	200	added ('OK')	image/jpeg	etag:%2238b0-4fa606cdbef40%22	http://tattek.sk/minimal/frontpage/assets/images/projects/thumbs/thekamarel.jpg	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/projects/thumbs/thekamarel.jpg	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:12	257380/257380	---M--	200	added ('OK')	image/jpeg	etag:%223ed64-4fa60651c4ac0%22	http://tattek.sk/minimal/frontpage/assets/images/projects/minoral.jpg	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/projects/minoral.jpg	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:15	13167/13167	---M--	200	added ('OK')	image/jpeg	etag:%22336f-4fa609952fdc0%22	http://tattek.sk/minimal/frontpage/assets/images/dummy.jpg	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/dummy.jpg	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:15	250545/250545	---M--	200	added ('OK')	image/jpeg	etag:%223d2b1-4fa606baac240%22	http://tattek.sk/minimal/frontpage/assets/images/projects/thekamarel.jpg	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/projects/thekamarel.jpg	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:16	7042/7042	---M--	200	added ('OK')	image/png	etag:%221b82-4fa73a2104180%22	http://tattek.sk/minimal/frontpage/assets/images/clients/themeforest.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/themeforest.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:17	6532/6532	---M--	200	added ('OK')	image/png	etag:%221984-4fa739fdbae40%22	http://tattek.sk/minimal/frontpage/assets/images/clients/3docean.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/3docean.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:18	7158/7158	---M--	200	added ('OK')	image/png	etag:%221bf6-4fa73a0838700%22	http://tattek.sk/minimal/frontpage/assets/images/clients/activeden.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/activeden.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:18	8146/8146	---M--	200	added ('OK')	image/png	etag:%221fd2-4fa73a0cfd240%22	http://tattek.sk/minimal/frontpage/assets/images/clients/audiojungle.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/audiojungle.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:19	6913/6913	---M--	200	added ('OK')	image/png	etag:%221b01-4fa73a12b5fc0%22	http://tattek.sk/minimal/frontpage/assets/images/clients/codecanyon.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/codecanyon.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:20	8024/8024	---M--	200	added ('OK')	image/png	etag:%221f58-4fa739f70de80%22	http://tattek.sk/minimal/frontpage/assets/images/clients/graphicriver.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/graphicriver.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:20	8092/8092	---M--	200	added ('OK')	image/png	etag:%221f9c-4fa73a1a571c0%22	http://tattek.sk/minimal/frontpage/assets/images/clients/photodune.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/photodune.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:21	5462/5462	---M--	200	added ('OK')	image/png	etag:%221556-4fa73a28a5380%22	http://tattek.sk/minimal/frontpage/assets/images/clients/tutorials.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/tutorials.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:22	7892/7892	---M--	200	added ('OK')	image/png	etag:%221ed4-4fa73a3046580%22	http://tattek.sk/minimal/frontpage/assets/images/clients/videohive.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/clients/videohive.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:23	19510/19510	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c36-4ea911cd94080%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:24	31824/31824	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c50-4fdbd7f771700%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/bootstrap/bootstrap.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/bootstrap/bootstrap.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:24	12497/12497	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230d1-4f88d20403a80%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/skrollr/skrollr.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/skrollr/skrollr.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:24	6000/6000	---MCZ	200	added ('OK')	application/javascript	etag:W/%221770-4e4dbae4b8c00%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/text-rotator/jquery.simple-text-rotator.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/text-rotator/jquery.simple-text-rotator.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:25	7621/7621	---MCZ	200	added ('OK')	application/javascript	etag:W/%221dc5-4f9667e501300%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/nivo-lightbox/nivo-lightbox.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/nivo-lightbox/nivo-lightbox.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:26	23890/23890	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d52-4f93aea1c8680%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/owl-carousel/owl.carousel.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/owl-carousel/owl.carousel.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
